name,rmse,mae,within_1c_pct,within_05c_pct,viol_pct,energy_kwh,ms,t_min,t_max,t_mean
Jan_Winter,3.7002285164159354,2.939394940485129,23.288690476190478,6.175595238095238,62.87202380952381,198.2754621435117,0.9393849788455182,14.47604044424412,26.198642829111066,20.268140366594846
Feb_Winter,3.863499370540695,3.087131101598084,22.098214285714285,5.357142857142857,63.988095238095234,179.7750818077789,0.9511756962789024,14.462810378143047,25.338760109443626,20.025626287398392
Mar_Spring,3.770417330756223,3.0240033557917436,21.279761904761905,6.026785714285714,61.60714285714286,93.29821843076651,0.9038345270464425,14.956974932024707,26.11873766976896,20.231903707934205
Apr_Spring,3.349013908636954,2.6686555092253377,24.776785714285715,6.696428571428571,57.36607142857143,60.79415563386987,0.860676408183324,14.972670428150195,25.5419085378374,20.614422620816452
May_Spring,2.3303136218199376,1.961622086027034,24.18154761904762,11.383928571428571,52.23214285714286,21.38892355292487,0.8009152901298242,15.149528907273691,26.43275243548601,21.834339673788538
Jun_Summer,2.718581766141432,2.345584029965835,15.625,7.8125,58.55654761904761,53.06711786971914,0.8376070095188576,15.70712780010399,28.13999571382692,23.443120410859667
Jul_Summer,3.2603406330780365,2.8748056875548,5.803571428571429,1.7857142857142856,70.75892857142857,81.11027305967968,0.9443142426624183,18.992373330874898,29.681398966755182,24.769758337510986
Aug_Summer,3.2770327872504903,2.9517133782722107,3.571428571428571,0.6696428571428571,74.25595238095238,91.88954899628943,0.9487468759990475,19.82572153473717,28.948496452548568,24.86813193693743
Sep_Autumn,3.7478473191662807,3.305301612910543,1.711309523809524,0.2232142857142857,77.00892857142857,123.53808436643087,1.0208990066233299,19.176919590843227,30.01943330181706,25.193885186083087
Oct_Autumn,2.871969103298106,2.382343115399302,19.270833333333336,8.630952380952381,59.077380952380956,78.79308248367762,0.8772380139248445,14.984251707578267,29.117023170660673,22.651499259591816
Nov_Autumn,3.4003561082032308,2.715163241263749,22.767857142857142,6.398809523809524,60.9375,81.6694076056188,0.8965323466830374,14.969695719656215,26.64497730156495,20.736365734739632
Dec_Winter,4.454555797999553,3.6148734966022302,25.595238095238095,4.836309523809524,64.36011904761905,185.24222772714128,0.9410455565004012,14.753668313491573,24.274616447677147,19.06689614206022
