canonical,seed,rmse_mean,mae_mean,within_1c_pct_mean,within_05c_pct_mean,violation_pct_mean,energy_kwh_sum,ms_mean
comfort_050_energy_050,42,0.938692868385468,0.7386842443884322,74.93179563492065,43.27256944444445,12.921626984126986,2843.58397510818,0.19297242006305929
comfort_050_energy_050,43,0.768917954861958,0.6177107988956682,82.93030753968253,47.16021825396825,6.770833333333333,2871.9791143904995,0.10317773283594413
comfort_050_energy_050,44,0.8788992999717724,0.6823524521484634,76.85391865079366,48.35689484126984,9.33779761904762,2858.3608023794923,0.14058235270459443
comfort_050_energy_050,45,0.8952848350914538,0.7057590530211945,77.7219742063492,42.39831349206349,11.97296626984127,2839.8217045336814,0.18745726527283446
comfort_050_energy_050,46,0.9845602804625365,0.8152769082622413,65.35218253968254,36.997767857142854,24.05133928571429,2554.0970697284333,0.31030051505022843
comfort_075_energy_025,42,0.700322213905238,0.5517073183435238,83.29613095238095,58.56894841269841,3.0753968253968256,2994.331405154441,0.056724150847302285
comfort_075_energy_025,43,0.7163248827775739,0.5697905419524724,84.93303571428571,53.28621031746031,5.474950396825396,2963.9329000091034,0.08662198553735323
comfort_075_energy_025,44,0.7691464223313661,0.6215050982276399,81.6778273809524,47.03621031746032,7.824900793650794,2819.1357030670347,0.11705078436465782
comfort_075_energy_025,45,0.902698325108214,0.7000073931980304,78.48462301587303,45.93253968253968,9.424603174603176,3036.70137914488,0.16041057116884036
comfort_075_energy_025,46,0.9087697494324413,0.7425512119168861,70.3249007936508,42.708333333333336,20.368303571428573,2602.7684155945326,0.27559663587445016
