scenario,ms_mean,ms_std,display_label,n_seeds,month_index,neutral_over_practical_sigma_ratio
Jan_Winter,0.2789113297030506,0.1139887114756141,"Neutral w=(0.50, 0.50), N=5",5,0,6.781927019219783
Feb_Winter,0.2131831893418956,0.1429296685491915,"Neutral w=(0.50, 0.50), N=5",5,1,346.00406975051936
Mar_Spring,0.1574068721979126,0.0893066995992784,"Neutral w=(0.50, 0.50), N=5",5,2,1.9080823543766408
Apr_Spring,0.1713914029521311,0.1356166792535764,"Neutral w=(0.50, 0.50), N=5",5,3,4.7850307360057425
May_Spring,0.1768532272256639,0.098246902826779,"Neutral w=(0.50, 0.50), N=5",5,4,1.6643409826218316
Jun_Summer,0.1847305738190535,0.0572451419228835,"Neutral w=(0.50, 0.50), N=5",5,5,0.6158523742713968
Jul_Summer,0.2026674213695828,0.0570316502206142,"Neutral w=(0.50, 0.50), N=5",5,6,0.6273325826862383
Aug_Summer,0.2241675726000299,0.0903168477899098,"Neutral w=(0.50, 0.50), N=5",5,7,1.1419704959818577
Sep_Autumn,0.1334720058456485,0.0334496448069244,"Neutral w=(0.50, 0.50), N=5",5,8,1.07114848587823
Oct_Autumn,0.1570049140741164,0.0986101637528593,"Neutral w=(0.50, 0.50), N=5",5,9,2.2443272989305103
Nov_Autumn,0.1258694792382418,0.1321227228798731,"Neutral w=(0.50, 0.50), N=5",5,10,6.718412946284306
Dec_Winter,0.2171186978566587,0.1538037907148881,"Neutral w=(0.50, 0.50), N=5",5,11,52.50694691089097
Jan_Winter,0.0962692875101494,0.0168077172096623,"Practical w=(0.75, 0.25), N=3",3,0,6.781927019219783
Feb_Winter,0.0546782660338983,0.0004130866687558,"Practical w=(0.75, 0.25), N=3",3,1,346.00406975051936
Mar_Spring,0.0712503599156942,0.0468044261268033,"Practical w=(0.75, 0.25), N=3",3,2,1.9080823543766408
Apr_Spring,0.022414032820475,0.028341861679823,"Practical w=(0.75, 0.25), N=3",3,3,4.7850307360057425
May_Spring,0.0426770643020395,0.0590305134900968,"Practical w=(0.75, 0.25), N=3",3,4,1.6643409826218316
Jun_Summer,0.1041219521917225,0.0929527015148868,"Practical w=(0.75, 0.25), N=3",3,5,0.6158523742713968
Jul_Summer,0.1307999835684735,0.090911347177927,"Practical w=(0.75, 0.25), N=3",3,6,0.6273325826862383
Aug_Summer,0.162136229381253,0.0790886000187387,"Practical w=(0.75, 0.25), N=3",3,7,1.1419704959818577
Sep_Autumn,0.1402299038277134,0.031227831853302,"Practical w=(0.75, 0.25), N=3",3,8,1.07114848587823
Oct_Autumn,0.1198479133326733,0.0439375147287341,"Practical w=(0.75, 0.25), N=3",3,9,2.2443272989305103
Nov_Autumn,0.0397118209791551,0.019665763914221,"Practical w=(0.75, 0.25), N=3",3,10,6.718412946284306
Dec_Winter,0.0574508691340058,0.0029292084145724,"Practical w=(0.75, 0.25), N=3",3,11,52.50694691089097
